Company ID,Stock Code,Company Name,Industry,Propensity Score,Address,Website,LinkedIn,Annual Revenue (HKD),Marketing Budget Est.,Social Media Followers,Engagement Rate,Market Cap Bn,Company Size,Contact Person,Email,Phone
176,0014.HK,Hysan Development,,,,,,,,,,21.16,,,,
177,HCM,HUTCHMED,,,,,,,,,,19.27,,,,
178,6110.HK,Topsports International,,,,,,,,,,18.98,,,,
179,MLCO,Melco Resorts &amp; Entertainment,,,,,,,,,,17.84,,,,
180,0123.HK,Yuexiu Property,,,,,,,,,,17.63,,,,
181,2356.HK,Dah Sing Banking Group,,,,,,,,,,17.07,,,,
182,0069.HK,Shangri-La,,,,,,,,,,17.05,,,,
183,0880.HK,SJM Holdings,,,,,,,,,,16.62,,,,
184,2778.HK,Champion REIT,,,,,,,,,,16.14,,,,
185,0303.HK,Vtech,,,,,,,,,,15.92,,,,
186,2343.HK,Pacific Basin Shipping,,,,,,,,,,15.80,,,,
187,0363.HK,Shanghai Industrial Holdings Limited,,,,,,,,,,15.76,,,,
188,1686.HK,SUNeVision,,,,,,,,,,14.92,,,,
189,0165.HK,China Everbright Limited,,,,,,,,,,13.55,,,,
190,0041.HK,Great Eagle,,,,,,,,,,13.27,,,,
191,0440.HK,Dah Sing Financial,,,,,,,,,,12.82,,,,
192,0636.HK,Kerry Logistics Network,,,,,,,,,,12.25,,,,
193,1313.HK,China Resources Building Materials Technology,,,,,,,,,,12.08,,,,
194,0373.HK,Allied Group Limited,,,,,,,,,,11.63,,,,
195,0045.HK,Hongkong and Shanghai Hotels,,,,,,,,,,11.37,,,,
196,0778.HK,Fortune REIT,,,,,,,,,,10.76,,,,
197,0200.HK,Melco International Development,,,,,,,,,,9.05,,,,
198,0116.HK,Chow Sang Sang Holdings,,,,,,,,,,8.74,,,,
199,0086.HK,Sun Hung Kai &amp; Co.,,,,,,,,,,8.15,,,,
200,0071.HK,Miramar Hotel and Investment,,,,,,,,,,7.64,,,,
201,0345.HK,Vitasoy,,,,,,,,,,7.13,,,,
202,0028.HK,Tian An China Investments Company,,,,,,,,,,6.74,,,,
203,0062.HK,Transport International Holdings,,,,,,,,,,6.07,,,,
204,0315.HK,SmarTone Telecommunications,,,,,,,,,,5.78,,,,
205,0215.HK,Hutchison Telecommunications Hong Kong Holdings,,,,,,,,,,5.69,,,,
206,SWIN,Solowin Holdings,,,,,,,,,,4.80,,,,
207,0435.HK,Sunlight REIT,,,,,,,,,,4.67,,,,
208,0662.HK,Asia Financial Holdings,,,,,,,,,,4.32,,,,
209,0289.HK,Wing On Company International,,,,,,,,,,4.01,,,,
210,MCTA,Charming Medical,,,,,,,,,,3.94,,,,
211,HKD,AMTD Digital,,,,,,,,,,3.74,,,,
212,0752.HK,Pico Far East Holdings,,,,,,,,,,3.52,,,,
213,0051.HK,Harbour Centre Development,,,,,,,,,,3.47,,,,
214,0710.HK,BOE Varitronix,,,,,,,,,,3.41,,,,
215,0369.HK,Wing Tai Properties,,,,,,,,,,3.39,,,,
216,0032.HK,The Cross-Harbour Holdings,,,,,,,,,,3.15,,,,
217,TROO,Troops,,,,,,,,,,2.82,,,,
218,0026.HK,China Motor Bus Company,,,,,,,,,,2.68,,,,
219,0035.HK,Far East Consortium International,,,,,,,,,,2.66,,,,
220,0341.HK,Caf�� de C,,,,,,,,,,2.66,,,,
221,0887.HK,Emperor Watch &amp; Jewellery,,,,,,,,,,2.47,,,,
222,0127.HK,Chinese Estates Holdings,,,,,,,,,,2.42,,,,
223,0709.HK,Giordano,,,,,,,,,,2.41,,,,
224,0547.HK,Digital Domain,,,,,,,,,,2.39,,,,
225,0808.HK,Prosperity Real Estate Investment Trust,,,,,,,,,,2.34,,,,
226,PRE,Prenetics,,,,,,,,,,2.02,,,,
227,2368.HK,Eagle Nice,,,,,,,,,,1.95,,,,
228,0050.HK,Hong Kong Ferry,,,,,,,,,,1.85,,,,
229,0480.HK,HKR International,,,,,,,,,,1.75,,,,
230,0813.HK,Shimao Property,,,,,,,,,,1.63,,,,
231,0321.HK,Texwinca Holdings,,,,,,,,,,1.63,,,,
232,0158.HK,Melbourne Enterprises,,,,,,,,,,1.56,,,,
233,1977.HK,Analogue Holdings (ATAL),,,,,,,,,,1.47,,,,
234,0511.HK,Television Broadcasts (TVB),,,,,,,,,,1.31,,,,
235,0163.HK,Emperor International,,,,,,,,,,1.14,,,,
236,NCI,Neo-Concept International Group,,,,,,,,,,1.13,,,,
237,1137.HK,Hong Kong Technology Venture Company (HKTV),,,,,,,,,,1.11,,,,
238,CORBF,Global Cord Blood,,,,,,,,,,1.10,,,,
239,DGNX,Diginex,,,,,,,,,,1.02,,,,
240,0488.HK,Lai Sun Development Company,,,,,,,,,,0.96,,,,
241,PWM,Prestige Wealth,,,,,,,,,,0.72,,,,
242,DDC,DDC Enterprise,,,,,,,,,,0.68,,,,
243,AMTD,AMTD IDEA Group,,,,,,,,,,0.64,,,,
244,0052.HK,Fairwood Holdings,,,,,,,,,,0.57,,,,
245,UCL,uCloudlink Group,,,,,,,,,,0.48,,,,
246,0078.HK,Regal Hotels International,,,,,,,,,,0.48,,,,
247,RITR,Reitar Logtech Holdings,,,,,,,,,,0.31,,,,
248,TOP,TOP Financial Group Limited,,,,,,,,,,0.29,,,,
249,JL,J-Long Group,,,,,,,,,,0.13,,,,
250,MSGY,Masonglory,,,,,,,,,,0.05,,,,
251,APM,Aptorum Group,,,,,,,,,,0.05,,,,
252,MEGL,Magic Empire Global (Giraffe Capital),,,,,,,,,,0.04,,,,
253,8282.HK,Gameone,,,,,,,,,,0.04,,,,
254,VSME,VS Media,,,,,,,,,,0.03,,,,
255,CCTG,CCSC Technology International Holdings,,,,,,,,,,0.02,,,,
